2456785.90687 18.637 0.061 3.90 95.0
2456789.67273 18.724 0.083 5.29 100.0
2456790.70324 18.597 0.065 3.90 121.0
2456791.71585 18.746 0.098 4.97 160.0
2456796.72044 18.494 0.057 3.83 119.0
2456797.79088 18.655 0.090 4.92 159.0
2456804.77621 18.771 0.065 4.73 64.0
2456805.83536 18.572 0.066 5.33 76.0
2456808.59097 18.872 0.092 5.68 74.0
2456809.62347 18.739 0.055 4.30 57.0
2456810.67008 18.591 0.052 3.84 67.0
2456811.69872 18.697 0.078 6.03 67.0
2456813.82779 18.764 0.064 4.90 54.0
2456814.89377 18.469 0.071 6.22 85.0
2456816.63448 18.648 0.067 4.92 74.0
2456817.70962 18.657 0.064 4.78 79.0
2456824.55475 18.741 0.103 5.72 126.0
2456825.57098 18.662 0.059 3.92 70.0
2456826.56638 18.946 0.089 4.84 83.0
2456827.59731 18.760 0.061 3.96 71.0
2456828.65892 18.649 0.046 3.78 48.0
2456829.72373 18.656 0.062 5.44 52.0
2456830.74675 19.023 0.065 3.76 59.0
2456832.51177 18.835 0.069 4.34 72.0
2456833.54820 18.608 0.085 6.48 90.0
2456834.56395 18.567 0.068 4.66 100.0
2456835.60101 18.746 0.059 4.80 47.0
2456837.61681 18.689 0.059 4.14 80.0
2456838.63099 18.631 0.057 4.85 54.0
2456839.64412 18.679 0.066 4.80 73.0
2456840.73247 18.829 0.074 5.64 55.0
2456844.54020 18.650 0.054 3.46 84.0
2456845.54356 18.580 0.051 3.65 80.0
2456851.55658 18.584 0.061 3.83 130.0
2456852.56084 18.672 0.078 4.72 122.0
2456855.58415 18.498 0.055 6.02 49.0
2456856.63282 18.498 0.044 3.83 53.0
2456857.66281 18.573 0.044 3.60 45.0
2456858.70596 18.613 0.054 4.27 60.0
2456862.64922 18.649 0.065 4.99 65.0
2456863.71383 18.616 0.059 4.55 75.0
2456865.55284 18.625 0.056 5.19 58.0
2456872.53608 18.706 0.061 4.71 53.0
2456879.55043 18.825 0.121 6.26 126.0
2456881.63746 18.485 0.067 4.93 94.0
2456885.49622 18.745 0.068 5.02 57.0
2456886.65955 18.663 0.065 4.98 73.0
2456888.61425 18.803 0.069 4.86 61.0
2456890.58325 18.602 0.057 5.13 51.0
2457083.89267 18.709 0.058 4.42 59.0
2457086.89849 18.614 0.056 3.63 98.0
2457089.90621 18.478 0.062 3.56 155.0
2457097.85378 18.671 0.047 3.64 53.0
2457100.79109 18.701 0.059 3.79 79.0
2457102.92076 18.494 0.081 4.79 181.0
2457111.83096 18.607 0.046 3.78 50.0
2457113.83219 18.647 0.048 3.55 67.0
2457115.81295 18.620 0.060 4.37 82.0
2457117.78852 18.654 0.054 3.29 109.0
2457119.80877 18.733 0.091 5.17 126.0
2457126.70646 18.778 0.066 5.37 62.0
2457129.87954 18.784 0.061 4.16 65.0
2457131.73887 18.598 0.053 4.06 66.0
2457133.82893 18.974 0.083 4.75 74.0
2457134.91710 18.719 0.062 4.20 79.0
2457136.73929 18.895 0.077 4.86 72.0
2457137.84372 18.658 0.050 3.99 57.0
2457138.90568 18.656 0.065 4.55 83.0
2457140.71756 18.873 0.084 5.05 80.0
2457141.78198 18.561 0.041 3.10 66.0
2457142.91849 18.718 0.065 3.90 77.0
2457144.69191 18.553 0.065 4.30 107.0
2457145.92384 18.580 0.083 4.99 141.0
2457151.79049 18.559 0.076 4.90 130.0
2457153.75082 18.623 0.044 2.98 77.0
2457154.79615 18.853 0.073 4.96 79.0
2457155.84608 18.714 0.063 3.69 90.0
2457157.66609 18.934 0.058 3.53 61.0
2457158.75983 18.631 0.051 4.12 61.0
2457159.78838 18.715 0.060 4.28 65.0
2457160.82171 18.638 0.051 3.85 63.0
2457161.84831 18.664 0.048 3.40 73.0
2457162.85096 18.820 0.073 4.78 72.0
2457163.85962 18.518 0.058 5.07 75.0
2457165.62808 18.812 0.073 5.11 63.0
2457169.87743 18.624 0.057 5.29 69.0
2457170.85941 18.773 0.076 5.07 80.0
2457172.87741 18.892 0.108 6.86 88.0
2457173.88885 18.626 0.096 5.34 174.0
2457454.88356 18.656 0.053 4.24 54.0
2457457.89915 18.615 0.061 4.66 78.0
2457461.87748 18.572 0.042 3.49 55.0
2457465.86265 18.717 0.059 3.94 74.0
2457470.85810 18.677 0.089 6.07 101.0
2457607.67967 18.825 0.068 5.52 51.0
