2456785.83685 15.742 0.008 3.59 83.0
2456786.93112 15.773 0.009 4.29 115.0
2456790.65898 15.756 0.009 4.00 128.0
2456791.66614 15.739 0.010 4.95 172.0
2456796.67463 15.740 0.009 4.90 90.0
2456804.72592 15.752 0.008 4.41 52.0
2456805.79116 15.759 0.009 5.89 63.0
2456807.87663 15.782 0.010 5.83 76.0
2456808.89999 15.767 0.009 4.76 91.0
2456810.62343 15.775 0.009 4.26 69.0
2456811.65050 15.751 0.009 4.94 62.0
2456813.74777 15.769 0.009 5.44 48.0
2456814.83469 15.754 0.009 5.06 55.0
2456815.89661 15.746 0.009 4.34 103.0
2456817.64425 15.766 0.009 4.93 82.0
2456824.87795 15.765 0.011 5.59 179.0
2456826.51906 15.745 0.009 4.82 88.0
2456827.55136 15.758 0.009 5.17 79.0
2456828.61426 15.763 0.008 4.38 45.0
2456829.67553 15.777 0.009 5.21 44.0
2456830.70115 15.749 0.007 3.43 50.0
2456831.81431 15.759 0.009 4.86 73.0
2456832.82886 15.741 0.009 5.21 113.0
2456834.51988 15.747 0.010 5.23 101.0
2456835.55530 15.770 0.010 5.75 62.0
2456836.57521 15.753 0.010 6.69 72.0
2456837.57271 15.749 0.008 3.50 80.0
2456838.58700 15.741 0.009 5.18 61.0
2456839.59835 15.782 0.009 5.25 77.0
2456840.67854 15.771 0.010 6.13 68.0
2456841.76891 15.759 0.010 6.33 84.0
2456844.48188 15.758 0.009 4.75 112.0
2456845.48706 15.749 0.008 3.95 94.0
2456851.49329 15.756 0.010 5.05 131.0
2456852.50017 15.766 0.010 5.12 117.0
2456855.53945 15.758 0.009 4.67 56.0
2456856.56515 15.746 0.009 5.21 61.0
2456857.59433 15.766 0.008 3.46 55.0
2456858.66072 15.762 0.008 3.55 60.0
2456862.59071 15.762 0.009 4.92 60.0
2456863.66772 15.769 0.009 4.18 62.0
2456864.69772 15.755 0.008 4.89 51.0
2456871.58002 15.769 0.008 5.26 81.0
2456874.68501 15.762 0.010 5.69 74.0
2456881.54523 15.749 0.010 5.95 85.0
2456884.68296 15.766 0.009 5.66 71.0
2456886.61205 15.752 0.008 4.35 67.0
2456888.56398 15.759 0.008 4.38 49.0
2456890.53469 15.784 0.009 5.98 50.0
2457063.84822 15.758 0.009 5.46 102.0
2457083.84782 15.751 0.010 7.04 55.0
2457086.85381 15.747 0.009 4.46 98.0
2457089.86146 15.770 0.009 4.78 92.0
2457097.80905 15.756 0.008 3.92 59.0
2457099.86033 15.738 0.008 4.88 53.0
2457102.84267 15.786 0.008 5.97 64.0
2457111.76990 15.744 0.008 5.69 61.0
2457113.77459 15.745 0.008 3.85 64.0
2457115.75636 15.735 0.008 3.97 87.0
2457117.72477 15.758 0.010 5.18 140.0
2457118.91949 15.754 0.009 3.77 165.0
2457125.88384 15.767 0.008 4.29 77.0
2457129.81077 15.749 0.008 4.26 56.0
2457130.92136 15.765 0.009 5.70 71.0
2457132.77700 15.753 0.008 4.55 68.0
2457134.85747 15.752 0.008 4.39 69.0
2457136.68205 15.737 0.008 4.49 65.0
2457137.76516 15.753 0.007 3.25 48.0
2457138.83472 15.747 0.008 4.15 68.0
2457140.64745 15.750 0.009 4.76 91.0
2457141.72382 15.755 0.008 3.26 63.0
2457142.86116 15.756 0.008 3.87 63.0
2457143.92648 15.751 0.009 4.61 95.0
2457145.86513 15.751 0.009 3.97 133.0
2457151.78383 15.737 0.009 5.31 120.0
2457153.69297 15.733 0.007 3.26 66.0
2457154.73667 15.747 0.008 3.80 69.0
2457155.76355 15.751 0.008 4.82 57.0
2457156.83570 15.799 0.005 4.07 83.0
2457158.70302 15.734 0.008 4.61 60.0
2457159.71815 15.750 0.008 4.75 68.0
2457160.74055 15.767 0.008 4.11 68.0
2457161.79011 15.754 0.008 3.89 63.0
2457162.79369 15.723 0.008 5.13 61.0
2457163.80164 15.755 0.008 4.72 79.0
2457164.88821 15.750 0.009 5.16 85.0
2457166.88125 15.769 0.010 6.32 88.0
2457169.80956 15.762 0.008 4.64 55.0
2457170.79949 15.743 0.008 5.19 58.0
2457172.81281 15.753 0.009 4.76 102.0
2457173.84445 15.757 0.009 4.55 157.0
2457453.87690 15.724 0.007 3.89 55.0
2457457.82986 15.765 0.009 4.82 82.0
2457461.80961 15.763 0.008 4.37 56.0
2457465.79553 15.752 0.008 4.81 62.0
2457470.80013 15.783 0.009 5.55 106.0
2457472.85152 15.751 0.009 4.91 96.0
2457607.63530 15.754 0.008 5.70 45.0
2457609.48227 15.762 0.010 6.68 75.0
2457610.62586 15.762 0.008 4.96 73.0
2457616.61586 15.748 0.008 4.45 120.0
2457618.51213 15.765 0.009 5.60 115.0
2457798.88242 15.766 0.009 4.27 87.0
2457803.89306 15.744 0.011 4.23 325.0
2457807.85294 15.768 0.009 4.84 53.0
2457809.89641 15.758 0.009 5.10 62.0
